B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BAI,Emissivity,LST_Celsius,LS_B2,LS_B3,LS_B4,LS_B5,LS_B6,LS_B7,LS_NDSI,LS_NDVI,LS_NDWI,LS_Thermal_K,NDSI,NDVI,NDWI,SAR_contrast,SAR_entropy,VH,VH_lin,VV,VV_VH_ratio,VV_lin,aspect,elevation,glacier_mask,is_melt_season,latitude,longitude,multiclass_mask,season,slope,year
0.1798499971628189,0.13944999873638153,0.03189999982714653,0.040550000965595245,0.05385000258684158,0.06925000250339508,0.09165000170469284,0.10215000063180923,0.11495000123977661,0.12075000256299973,193.53032290361836,0.9889331118807937,15.182167280000044,0.04430999999999999,0.05828,0.07621,0.189015,0.283285,0.2198425,-0.6433989405632019,0.4199833869934082,-0.5231564044952393,288.33216728,-0.6397683620452881,0.36595389246940613,-0.48759979009628296,4747920.033730158,4.353741458929681,-12.1346595878437,0.06116937473416327,-3.4689214717607246,5.332448376296218,0.4498915672302246,164,4015,0,1,29.331116920607528,93.43552441607547,0,winter,47,2025
0.04809999838471413,0.04749999940395355,0.39579999446868896,0.34209999442100525,0.29269999265670776,0.28189998865127563,0.25929999351501465,0.25110000371932983,0.24040000140666962,0.23260000348091125,14.351846018091754,0.986,-20.770276089999967,0.04201375,0.030436249999999998,0.010264999999999996,0.0034862499999999963,-0.0013812500000000005,0.002991250000000001,0.9898459315299988,-0.49389463663101196,0.769868791103363,252.37972391,0.7559692859649658,-0.06546793133020401,0.11125444620847702,10921667.110119049,4.353741458929681,-10.964297800415652,0.08008851110935211,-5.578153407568455,3.5978746867280074,0.2768118381500244,28,4477,1,1,37.871669821317056,86.79948974922775,1,winter,38,2025
0.08150000125169754,0.04500000178813934,0.023900000378489494,0.032099999487400055,0.025499999523162842,0.06080000102519989,0.15809999406337738,0.16769999265670776,0.1590999960899353,0.17900000512599945,62.77302966839684,0.99,6.297024290000024,0.008642499999999997,0.021608749999999996,0.016369999999999996,0.07185124999999998,0.03568874999999999,0.020288749999999994,-0.3525378704071045,0.640727698802948,-0.5295092463493347,279.44702429,-0.409383624792099,0.6827171444892883,-0.622999370098114,7184895.665674603,4.353741458929681,-5.0984981037941655,0.30930353701114655,1.6857168811031864,6.25932829740178,1.474276840686798,52,2626,0,1,33.33580645721236,75.80950056330951,0,winter,45,2025
0.2718000113964081,0.20520000159740448,0.07180000096559525,0.09109999984502792,0.11069999635219574,0.1428000032901764,0.18970000743865967,0.20810000598430634,0.22059999406337738,0.22930000722408295,38.474607778862655,0.9877061193889982,17.60212544000001,0.0776675,0.10483749999999997,0.12636999999999998,0.2618075,0.279985,0.21150999999999998,-0.5202076435089111,0.32795894145965576,-0.40158239006996155,290.75212544,-0.5249110460281372,0.3282996118068695,-0.41053342819213867,7077834.920634921,4.353741458929681,-23.635569055264504,0.004329553339630364,-12.899246730104023,15.383118963181886,0.05129503458738326,104,1352,0,1,43.01174004552055,75.27185886576399,0,winter,8,2025
0.23309999704360962,0.20080000162124634,0.10885000228881836,0.15000000596046448,0.19475001096725464,0.2049500048160553,0.2154500037431717,0.22360000014305115,0.22725000977516174,0.22675000131130219,26.998666597682146,0.986,18.624113420000015,0.13192500000000001,0.19074750000000001,0.2432725,0.2862,0.28545750000000003,0.24849749999999998,-0.19541731476783752,0.08165233582258224,-0.20006433129310608,291.77411342,-0.21015548706054688,0.0736517682671547,-0.20168615877628326,5069010.077850243,4.116276046333603,-25.089942084551346,0.0030974606052041045,-11.691085187710595,21.92274055140823,0.06774722039699553,153,4883,0,1,31.10007937809569,85.91932043384743,0,winter,7,2025
0.2572999894618988,0.19869999587535858,0.08630000054836273,0.10824999958276749,0.11545000225305557,0.14309999346733093,0.1923000067472458,0.2071000039577484,0.2219499945640564,0.22484999895095825,38.09167388437389,0.9879492843466178,30.221455279999986,0.05294500000000002,0.08733375000000002,0.09220124999999998,0.19738875,0.22035125,0.169545,-0.42782971262931824,0.34619632363319397,-0.37127524614334106,303.37145527999996,-0.41148641705513,0.32190874218940735,-0.3353503942489624,5039022.726190477,4.353741458929681,-18.138796048369517,0.015350424684584151,-9.418448863990651,6.154718917331962,0.11432866007089613,312,68,0,1,26.23462413624754,88.48814282031562,0,winter,3,2025
0.35199999809265137,0.2921000123023987,0.22470000386238098,0.2741999924182892,0.31200000643730164,0.31690001487731934,0.3230000138282776,0.32690000534057617,0.3343999981880188,0.3262999951839447,8.307949255082239,0.986,1.3186781599999904,0.17218499999999998,0.25441,0.3004725,0.32236250000000005,0.3361675,0.27311,-0.14158029854297638,0.03691651299595833,-0.11772342026233673,274.46867815999997,-0.12684178352355957,0.03499627113342285,-0.0994906798005104,4818125.852909513,3.820446589077723,-26.283964710620296,0.002357447985559703,-15.787645150690201,12.48931805354056,0.026396830566227436,270,4855,0,1,35.556441839555816,85.14802693090242,0,winter,1,2025
0.11819999665021896,0.10050000250339508,0.397599995136261,0.426800012588501,0.4715999960899353,0.47600001096725464,0.4871000051498413,0.47200000286102295,0.4927000105381012,0.4900999963283539,3.0739356256371977,0.9863089843408276,7.546310599999998,0.45773125000000003,0.46726,0.49225750000000007,0.48140875,0.18642999999999998,0.15861375,0.20659175515174866,0.10488319396972656,-0.17707893252372742,280.69631059999995,0.566238522529602,0.02188117243349552,-0.04534991830587387,15180997.085736066,4.17121573715909,-19.455146636290788,0.01133666560053825,-11.845578580846537,4.831995864996283,0.06537958234548567,189,2270,1,1,42.917416940688,75.94559532885363,1,winter,8,2025
0.30809998512268066,0.23675000667572021,0.08034999668598175,0.10525000095367432,0.1384499967098236,0.16380000114440918,0.1935500055551529,0.20900000631809235,0.225600004196167,0.22865000367164612,35.848212644935174,0.986470772020958,13.131355280000037,0.07062750000000001,0.09849875,0.12419749999999999,0.20649125,0.262605,0.20038625000000002,-0.46298331022262573,0.23530790209770203,-0.3411906957626343,286.28135528,-0.488503098487854,0.23761378228664398,-0.3480271100997925,4680440.4,2.9072768048149102,-27.681967015096735,0.0017053098417818553,-16.473547119695052,13.179747123787172,0.022523988038301485,0,1048,0,1,43.61136549767033,74.828540273051,0,winter,1,2025
0.23669999837875366,0.24009999632835388,0.17030000686645508,0.19259999692440033,0.21770000457763672,0.23880000412464142,0.2442999929189682,0.23350000381469727,0.23739999532699585,0.24040000140666962,22.06334193007243,0.986,-4.2885836499999925,0.22427,0.27598374999999997,0.34753875,0.40488999999999997,0.21746374999999998,0.1991075,0.16878440976142883,0.07411413639783859,-0.17305733263492584,268.86141635,-0.04912368208169937,0.060923945158720016,-0.1271020770072937,6279502.941152598,3.1955036281355795,-27.04527529099789,0.0019747764454223216,-17.923184152595205,7.8016898351364485,0.016144422814249996,180,571,0,1,44.60310557133828,89.85340238912046,0,winter,1,2025
